Date,Close/Last,Open,High,Low
12/09/2024,7480.14,7484.50,7511.02,7444.81
12/06/2024,7426.88,7334.27,7444.72,7334.14
12/05/2024,7330.54,7282.72,7351.00,7282.72
12/04/2024,7303.28,7261.72,7322.86,7257.43
12/03/2024,7255.42,7244.74,7319.87,7228.92
12/02/2024,7236.89,7147.37,7275.97,7146.02
11/29/2024,7235.11,7151.30,7241.07,7147.74
11/28/2024,7179.25,7170.91,7207.07,7161.72
11/27/2024,7143.03,7150.02,7156.42,7091.15
11/26/2024,7194.51,7201.65,7256.78,7185.49
11/25/2024,7257.47,7329.48,7333.23,7239.38
11/22/2024,7255.01,7250.64,7271.06,7156.23
11/21/2024,7213.32,7185.20,7223.60,7131.21
11/20/2024,7198.45,7272.73,7280.39,7188.42
11/19/2024,7229.64,7287.46,7301.19,7134.83
11/18/2024,7278.23,7274.40,7289.78,7234.59
11/15/2024,7269.63,7256.58,7319.53,7236.48
11/14/2024,7311.80,7247.92,7319.09,7220.05
11/13/2024,7216.83,7217.49,7256.47,7158.25
11/12/2024,7226.98,7346.72,7365.28,7217.78
11/11/2024,7426.88,7395.09,7452.60,7387.52
11/08/2024,7338.67,7440.12,7440.95,7330.21
11/07/2024,7425.60,7373.19,7450.00,7354.28
11/06/2024,7369.61,7444.37,7572.14,7338.35
11/05/2024,7407.15,7377.58,7414.82,7350.00
11/04/2024,7371.71,7386.32,7445.96,7371.71
11/01/2024,7409.11,7364.08,7434.26,7358.20
10/31/2024,7350.37,7384.10,7393.25,7315.97
10/30/2024,7428.36,7452.10,7470.69,7377.39
10/29/2024,7511.11,7593.86,7618.32,7506.52
10/28/2024,7556.94,7542.13,7580.68,7494.93
10/25/2024,7497.54,7489.87,7518.75,7459.41
10/24/2024,7503.28,7527.64,7565.39,7503.02
10/23/2024,7497.48,7493.25,7544.70,7468.58
10/22/2024,7535.10,7517.03,7545.36,7472.16
10/21/2024,7536.23,7579.08,7620.46,7529.68
10/18/2024,7613.05,7566.87,7644.05,7566.87
10/17/2024,7583.73,7510.13,7624.22,7507.95
10/16/2024,7492.00,7420.85,7511.10,7420.85
10/15/2024,7521.97,7595.06,7601.53,7511.24
10/14/2024,7602.06,7583.48,7613.15,7544.54
10/11/2024,7577.89,7530.88,7587.52,7504.04
10/10/2024,7541.59,7543.40,7563.36,7515.90
10/09/2024,7560.09,7527.03,7567.58,7504.63
10/08/2024,7521.32,7480.36,7542.05,7475.78
10/07/2024,7576.02,7571.97,7585.33,7509.87
10/04/2024,7541.36,7464.87,7571.76,7460.29
10/03/2024,7477.78,7555.23,7555.24,7458.49
10/02/2024,7577.59,7594.81,7623.32,7548.98
10/01/2024,7574.07,7623.33,7654.58,7547.12
09/30/2024,7635.75,7748.07,7748.07,7748.07
09/27/2024,7791.79,7762.45,7804.64,7743.88
09/26/2024,7742.09,7663.03,7742.09,7652.61
09/25/2024,7565.62,7549.26,7595.77,7546.86
09/24/2024,7604.01,7608.47,7634.23,7575.36
09/23/2024,7508.08,7499.92,7518.77,7456.44
09/20/2024,7500.26,7597.52,7603.20,7500.26
09/19/2024,7615.41,7557.04,7615.41,7520.08
09/18/2024,7444.90,7489.85,7489.85,7489.85
09/17/2024,7487.42,7485.14,7523.87,7473.90
09/16/2024,7449.44,7432.17,7480.60,7430.06
09/13/2024,7465.25,7441.56,7490.84,7438.65
09/12/2024,7435.07,7478.91,7484.16,7391.54
09/11/2024,7396.83,7419.04,7452.68,7363.31
09/10/2024,7407.55,7414.40,7476.54,7386.53
09/09/2024,7425.26,7376.72,7445.05,7369.90
09/06/2024,7352.30,7424.09,7466.14,7341.93
09/05/2024,7431.96,7464.28,7498.08,7431.96
09/04/2024,7500.97,7490.10,7530.83,7482.40
09/03/2024,7575.10,7659.81,7671.53,7564.99
09/02/2024,7646.42,7628.86,7649.10,7572.77
08/30/2024,7630.95,7645.53,7693.82,7630.95
08/29/2024,7640.95,7577.17,7644.68,7576.36
08/28/2024,7577.67,7587.47,7611.92,7577.67
08/27/2024,7565.78,7601.27,7625.08,7565.78
08/26/2024,7590.37,7578.02,7608.32,7577.63
08/23/2024,7577.04,7544.73,7583.50,7534.30
08/22/2024,7524.11,7527.96,7568.63,7523.53
08/21/2024,7524.72,7486.91,7530.48,7486.91
08/20/2024,7485.73,7518.70,7531.70,7481.67
08/19/2024,7502.01,7445.31,7519.86,7444.72
08/16/2024,7449.70,7442.30,7460.33,7421.48
08/15/2024,7423.37,7356.07,7437.34,7318.14
08/14/2024,7333.36,7330.16,7333.36,7295.89
08/13/2024,7275.87,7277.70,7282.85,7222.08
08/12/2024,7250.67,7296.84,7307.45,7234.20
08/09/2024,7269.71,7259.70,7319.51,7233.69
08/08/2024,7247.45,7223.01,7262.08,7168.99
08/07/2024,7266.01,7161.94,7287.85,7145.88
08/06/2024,7130.04,7160.07,7184.29,7070.02
08/05/2024,7148.99,7099.59,7158.60,7029.91
08/02/2024,7251.80,7330.60,7350.29,7227.79
08/01/2024,7370.45,7478.14,7487.12,7358.09
07/31/2024,7531.49,7565.10,7584.49,7518.47
07/30/2024,7474.94,7461.61,7501.56,7450.93
07/29/2024,7443.84,7547.45,7547.64,7429.43
07/26/2024,7517.68,7444.41,7526.27,7427.47
07/25/2024,7427.02,7416.70,7416.70,7416.70
07/24/2024,7513.73,7500.67,7539.95,7464.10
07/23/2024,7598.63,7628.02,7661.77,7572.98
07/22/2024,7622.02,7573.41,7650.93,7566.54
07/19/2024,7534.52,7565.88,7570.33,7513.66
07/18/2024,7586.55,7606.24,7653.22,7559.10
07/17/2024,7570.81,7556.13,7603.46,7524.88
07/16/2024,7580.03,7583.50,7603.42,7556.55
07/15/2024,7632.71,7682.34,7682.34,7682.34
07/12/2024,7724.32,7664.94,7737.16,7659.09
07/11/2024,7627.13,7613.09,7645.98,7577.00
07/10/2024,7573.55,7525.18,7580.12,7487.39
07/09/2024,7508.66,7595.97,7605.48,7484.62
07/08/2024,7627.45,7637.89,7746.06,7627.45
07/05/2024,7675.62,7720.54,7738.19,7643.69
07/04/2024,7695.78,7677.34,7701.35,7667.05
07/03/2024,7632.08,7579.64,7662.06,7566.41
07/02/2024,7538.29,7517.65,7543.15,7477.27
07/01/2024,7561.13,7673.48,7688.20,7561.13
06/28/2024,7479.40,7544.40,7548.25,7456.47
06/27/2024,7530.72,7619.10,7626.38,7522.16
06/26/2024,7609.15,7703.80,7707.15,7559.63
06/25/2024,7662.30,7648.14,7671.06,7617.16
06/24/2024,7706.89,7633.99,7725.28,7629.27
06/21/2024,7628.57,7653.14,7673.73,7601.82
06/20/2024,7671.34,7585.98,7682.64,7577.92
06/19/2024,7570.20,7617.35,7626.13,7566.09
06/18/2024,7628.80,7636.69,7641.12,7564.02
06/17/2024,7571.57,7539.03,7580.94,7482.38
06/14/2024,7503.27,7685.50,7686.89,7464.84
06/13/2024,7708.02,7855.37,7858.32,7692.72
